item_name,url,thumbnail_url,price
Today only: Bestsellers in Kindle eBooks for $4.99 or less,https://www.amazon.com/s/browse/?ie=UTF8&node=7788141011&ref=dlx_deals_gd_dcl_img_0_29db6e13_dt_sl15_bd,https://m.media-amazon.com/images/I/61snfRJBh5L.jpg,1.99
DARKIRON Deep tissue massager,https://www.amazon.com/deal/71410a33?showVariations=true&ref=dlx_deals_gd_dcl_img_1_71410a33_dt_sl15_bd,https://m.media-amazon.com/images/I/41YYWodRffL.jpg,79.98
Save on Mrs. Meyer's Clean Day Products,https://www.amazon.com/deal/8a051d97?showVariations=true&ref=dlx_deals_gd_dcl_img_2_8a051d97_dt_sl15_bd,https://m.media-amazon.com/images/I/41Nr5Cq9AdL.jpg,7.72
Up to 14% off Instax Mini 11 Instant Cameras,https://www.amazon.com/deal/0a4c9734?showVariations=true&ref=dlx_deals_gd_dcl_img_3_0a4c9734_dt_sl15_bd,https://m.media-amazon.com/images/I/41OGJeKN0NL.jpg,59.95
DEWALT 20V Max Cordless 10-Tool Combo Kit,https://www.amazon.com/DEWALT-DCK1020D2-20V-Combo-Kit/dp/B0773CS85H?ref=dlx_deals_gd_dcl_img_4_864bba9f_dt_sl15_bd,https://m.media-amazon.com/images/I/51ukjsw6ilL.jpg,599.00
Save on select Samsung TVs,https://www.amazon.com/deal/392f1fc0?showVariations=true&ref=dlx_deals_gd_dcl_img_5_392f1fc0_dt_sl15_bd,https://m.media-amazon.com/images/I/41rvBd3JBVS.jpg,457.99
Save on select Samsung Audio products,https://www.amazon.com/deal/8a34c9db?showVariations=true&ref=dlx_deals_gd_dcl_img_6_8a34c9db_dt_sl15_bd,https://m.media-amazon.com/images/I/11MF9zA8l-S.jpg,197.99
Up to 20% off Coleman Holiday Essentials,https://www.amazon.com/deal/331bec92?showVariations=true&ref=dlx_deals_gd_dcl_img_7_331bec92_dt_sl15_bd,https://m.media-amazon.com/images/I/318P7LDtcjL.jpg,7.98
"29% off ZeroWater 10-cup water pitcher, filter and TDS meter",https://www.amazon.com/ZeroWater-Pitcher-Quality-BPA-Free-Certified/dp/B0073PZ6O0?ref=dlx_deals_gd_dcl_img_8_097a7ae6_dt_sl15_bd,https://m.media-amazon.com/images/I/41XisYiecNL.jpg,24.99
Save on select titles from EA,https://www.amazon.com/stores/page/preview?isSlp=1&isPreview=1&asins=B096NB1JS9%2CB096NCZ9G2%2CB096NGLW78%2CB096NB311H%2CB098KVCFM8%2CB098KVSF9R%2CB098KS12NL%2CB098KVYWQD%2CB098KVHZ3P%2CB09D23785P%2CB09D1WHQYF%2CB09D1Z3TND%2CB09D22Q4ZJ%2CB0925HH9YT%2CB092NG685M%2CB0925HD7Q5%2CB08MXTDGN6%2CB08MXVNZWP%2CB08Q43BKHG%2CB08Q3V2TXV%2CB08T488259%2CB0869GK2MK%2C&ref=dlx_deals_gd_dcl_img_9_95125820_dt_sl15_bd,https://m.media-amazon.com/images/I/513GiBdDruL.jpg,29.99
